Название песни + исполнитель ,Отзыв,Ссылки,Depeche Mode Songs,Отзыв
"Спасибо, Май!",Очень даже хорошая,https://youtu.be/s6HFXxcdf5Q,,
"Шурочкин Владимир - Гудбай, бэби","Как с такого.. люди начали петь так, как поют сейчас..НУ КАК",https://youtu.be/r1W6vOBUfpg,,
Depeche mode - The Bottom Line,"Боже, господи.. так будет со всеми песнями? Они как зависимость уже, голос заставляет чувствовать себя дома, хорошо, комфортно. Этот именно тот случай, когда домом можно назвать не только место, где ты проживаешь. Я хочу облиться этой музыкой, хочу жить ей..",https://youtu.be/8nPq2Wgo4r8,,
Валентин Стрыкало - Космос нас ждет ,Хочу закрыть глаза и забыть обо всем с этой песней,https://youtu.be/Q2KsIGLTQfA,,
Monte Kristo - The girl of lucifer ,"Мне понравилась, а еще я вспомнила тот вопрос хахах",https://youtu.be/7jB2Z40Shf4,,
Мумий Тролль - Дельфины ,"Эту я точно когда то слышала, но слова такие ну.. интересные)",https://youtu.be/V7iCZQgK0SQ?list=RDSIjGAzFOPTg,,
Blue System - 48 hours ,"Оу, это очень очень даже хорошо. Это у него такой голос.. хочется слушать",https://youtu.be/mEKuHBYUl_Y,,
Josep Porto - Nova Esplendor,"Довольно спокойно, красиво",https://youtu.be/ZQ1Mhs1HfUQ,,
Алла Пугачева - Отражение в воде ,Есть одно движение смешное и под эту песню хочется его делать:)),https://youtu.be/ilrAfrsaDK0,,
Sandra - Casino Royale ,"Тут фон намного интереснее.. звучит шикарно, сложно объяснить, так как не совсем в это понимаю, но я говорю про звуки уууу тутуту хаха",https://youtu.be/35CrbxDRepo,,
Kelly Brown - Only you can ,Такой формат шикарен,https://youtu.be/WRFpvRFRhHc,,
Nina's 98 - Popcorn original song ,"Ооо та ну... что за мелодия до безумия знакомая, она будто с моего детства..",https://youtu.be/NjxNnqTcHhg,,
Sandra - Stop for a minute ,Мне начинает она нравится)) Уже не первая ее песня и есть тут что то,https://youtu.be/Bg1O-Da4Jgw,,
Men at work - Down Under ,"Аййй очень приятна атмосфера, такая тадам тадам тадам)",https://youtu.be/XfR9iY5y94s,,
Поп сервис - Хрустальные замки  ,Так понимаю хрустальные замки это какие то невыполненные обещания? ,https://youtu.be/AE5UiwVda0Q,,
Алла Пугачева - Королева ,"Королева, ах королева))",https://youtu.be/EprThrydbOk,,
Виктор Салтыков - Давайте созвонимся,"Давайте, хорошая идея, давно пора хахах",https://youtu.be/0aAI1GdTCGQ,,
Digitalo - Girl from Russia ,"Так, это что такое.. ахха я бы расписала, но не буду. я уже не настолько ахах, а сама песня очень позитивная, я люблю такой kind of singing",https://youtu.be/L7e6DxLL4sE,,
Digitalo - Love me endlessly ,Думаю неплохая,https://youtu.be/AJ0aXeU2NU8,,
Ice MC - Easy ,"Easy to remember, эта часть мне понравилась и еще где женский голос тоже хорошо, сами куплеты немного грубоваты",https://youtu.be/O3UWO_0roqw,,
SNAP! - Rhythm is a dancer ,"Даааа, она у меня частенько слушается, чудесная",https://youtu.be/JYIaWeVL1JM,,
Stanley Foort - Heaven is here ,Снова heaven?))) В голове просто заседает..,https://youtu.be/hVRG2UGfdZE,,
Everything but the girl - Missing ,В наушники и на прогулку,https://youtu.be/U56Ns66Qrb8,,
Boy Meets Girl - Waiting for a star to fall,"Клип такой красивый), реально как фильм",https://youtu.be/RhxF9Qg5mOU,,
Volare - Domenico Modugno,"ох.. слов нету, как же нежно боже..",https://youtu.be/0VAPgaVStS4,,
Somewhere over the rainbow - The Wizard of Oz,Это что за красота такая пошла..,https://youtu.be/PSZxmZmBfnU,,
Andy Williams - Moon river ,"аааа Мурка, что за попадания такие пошли, тут понимаешь, сложно писать, тут только слушать, слушать, слушать",https://youtu.be/6oLfUnImgEs,,
I will follow him Peggy March ,"божечки-кошечки.., это я должна тебе говорить, что will follow you)",https://youtu.be/X9Qy9EXaOo0,,
